series	season	category	title
classic-who	13	Main Show	Pyramids of Mars (2)
classic-who	13	Main Show	Pyramids of Mars (3)
classic-who	13	Main Show	Pyramids of Mars (4)
classic-who	13	Main Show	The Android Invasion (1)
classic-who	13	Main Show	The Android Invasion (2)
classic-who	13	Main Show	The Android Invasion (3)
classic-who	13	Main Show	The Android Invasion (4)
classic-who	13	Main Show	The Brain of Morbius (1)
classic-who	13	Main Show	The Brain of Morbius (2)
classic-who	13	Main Show	The Brain of Morbius (3)
classic-who	13	Main Show	The Brain of Morbius (4)
classic-who	13	Main Show	The Seeds of Doom (1)
classic-who	13	Main Show	The Seeds of Doom (2)
classic-who	13	Main Show	The Seeds of Doom (3)
classic-who	13	Main Show	The Seeds of Doom (4)
classic-who	13	Main Show	The Seeds of Doom (5)
classic-who	13	Main Show	The Seeds of Doom (6)
classic-who	14	Main Show	The Masque of Mandragora (1)
classic-who	14	Main Show	The Masque of Mandragora (2)
classic-who	14	Main Show	The Masque of Mandragora (3)
classic-who	14	Main Show	The Masque of Mandragora (4)
classic-who	14	Main Show	The Hand of Fear (1)
classic-who	14	Main Show	The Hand of Fear (2)
classic-who	14	Main Show	The Hand of Fear (3)
classic-who	14	Main Show	The Hand of Fear (4)
classic-who	14	Main Show	The Deadly Assassin (1)
classic-who	14	Main Show	The Deadly Assassin (2)
classic-who	14	Main Show	The Deadly Assassin (3)
classic-who	14	Main Show	The Deadly Assassin (4)
classic-who	14	Main Show	The Face of Evil (1)
classic-who	14	Main Show	The Face of Evil (2)
classic-who	14	Main Show	The Face of Evil (3)
classic-who	14	Main Show	The Face of Evil (4)
classic-who	14	Main Show	The Robots of Death (1)
classic-who	14	Main Show	The Robots of Death (2)
classic-who	14	Main Show	The Robots of Death (3)
classic-who	14	Main Show	The Robots of Death (4)
classic-who	14	Main Show	The Talons of Weng-Chiang (1)
classic-who	14	Main Show	The Talons of Weng-Chiang (2)
classic-who	14	Main Show	The Talons of Weng-Chiang (3)
classic-who	14	Main Show	The Talons of Weng-Chiang (4)
classic-who	14	Main Show	The Talons of Weng-Chiang (5)
classic-who	14	Main Show	The Talons of Weng-Chiang (6)
classic-who	15	Main Show	Horror of Fang Rock (1)
classic-who	15	Main Show	Horror of Fang Rock (2)
classic-who	15	Main Show	Horror of Fang Rock (3)
classic-who	15	Main Show	Horror of Fang Rock (4)
classic-who	15	Main Show	The Invisible Enemy (1)
classic-who	15	Main Show	The Invisible Enemy (2)
classic-who	15	Main Show	The Invisible Enemy (3)
classic-who	15	Main Show	The Invisible Enemy (4)
classic-who	15	Main Show	Image of the Fendahl (1)
classic-who	15	Main Show	Image of the Fendahl (2)
classic-who	15	Main Show	Image of the Fendahl (3)
classic-who	15	Main Show	Image of the Fendahl (4)
classic-who	15	Main Show	The Sun Makers (1)
classic-who	15	Main Show	The Sun Makers (2)
classic-who	15	Main Show	The Sun Makers (3)
classic-who	15	Main Show	The Sun Makers (4)
classic-who	15	Main Show	Underworld (1)
classic-who	15	Main Show	Underworld (2)
classic-who	15	Main Show	Underworld (3)
classic-who	15	Main Show	Underworld (4)
classic-who	15	Main Show	The Invasion of Time (1)
classic-who	15	Main Show	The Invasion of Time (2)
classic-who	15	Main Show	The Invasion of Time (3)
classic-who	15	Main Show	The Invasion of Time (4)
classic-who	15	Main Show	The Invasion of Time (5)
classic-who	15	Main Show	The Invasion of Time (6)
classic-who	16	Main Show	The Ribos Operation (1)
classic-who	16	Main Show	The Ribos Operation (2)
classic-who	16	Main Show	The Ribos Operation (3)
classic-who	16	Main Show	The Ribos Operation (4)
classic-who	16	Main Show	The Pirate Planet (1)
classic-who	16	Main Show	The Pirate Planet (2)
classic-who	16	Main Show	The Pirate Planet (3)
classic-who	16	Main Show	The Pirate Planet (4)
classic-who	16	Main Show	The Stones of Blood (1)
classic-who	16	Main Show	The Stones of Blood (2)
classic-who	16	Main Show	The Stones of Blood (3)
classic-who	16	Main Show	The Stones of Blood (4)
classic-who	16	Main Show	The Androids of Tara (1)
classic-who	16	Main Show	The Androids of Tara (2)
classic-who	16	Main Show	The Androids of Tara (3)
classic-who	16	Main Show	The Androids of Tara (4)
classic-who	16	Main Show	The Power of Kroll (1)
classic-who	16	Main Show	The Power of Kroll (2)
classic-who	16	Main Show	The Power of Kroll (3)
classic-who	16	Main Show	The Power of Kroll (4)
classic-who	16	Main Show	The Armageddon Factor (1)
classic-who	16	Main Show	The Armageddon Factor (2)
classic-who	16	Main Show	The Armageddon Factor (3)
classic-who	16	Main Show	The Armageddon Factor (4)
classic-who	16	Main Show	The Armageddon Factor (5)
classic-who	16	Main Show	The Armageddon Factor (6)
classic-who	17	Main Show	Destiny of the Daleks (1)
classic-who	17	Main Show	Destiny of the Daleks (2)
classic-who	17	Main Show	Destiny of the Daleks (3)
classic-who	17	Main Show	Destiny of the Daleks (4)
classic-who	17	Main Show	City of Death (1)
classic-who	17	Main Show	City of Death (2)
classic-who	17	Main Show	City of Death (3)
classic-who	17	Main Show	City of Death (4)
classic-who	17	Main Show	The Creature from the Pit (1)
classic-who	17	Main Show	The Creature from the Pit (2)
classic-who	17	Main Show	The Creature from the Pit (3)
classic-who	17	Main Show	The Creature from the Pit (4)
classic-who	17	Main Show	Nightmare of Eden (1)
classic-who	17	Main Show	Nightmare of Eden (2)
classic-who	17	Main Show	Nightmare of Eden (3)
classic-who	17	Main Show	Nightmare of Eden (4)
classic-who	17	Main Show	The Horns of Nimon (1)
classic-who	17	Main Show	The Horns of Nimon (2)
classic-who	17	Main Show	The Horns of Nimon (3)
classic-who	17	Main Show	The Horns of Nimon (4)
classic-who	17	Main Show	Shada (1)
classic-who	17	Main Show	Shada (2)
classic-who	17	Main Show	Shada (3)
classic-who	17	Main Show	Shada (4)
classic-who	17	Main Show	Shada (5)
classic-who	17	Main Show	Shada (6)
