season	category	title	status	note	ceiling	have
11	Special	Resolution	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Spyfall: Part 1	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Spyfall: Part 2	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Orphan 55	ok		1080p Blu-ray	1920x960 25fps AAC
12	Animated Series	The Runaway	ok		1080p YouTube, 360 video	
12	Main Show	Nikola Tesla's Night of Terror	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Fugitive of the Judoon	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Praxeus	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Can You Hear Me?	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	The Haunting of Villa Diodati	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	Ascension of the Cybermen	ok		1080p Blu-ray	1920x960 25fps AAC
12	Main Show	The Timeless Children	ok		1080p Blu-ray	1920x960 25fps AAC
12	Minisode	Shadow of a Doubt	ok		1080p YouTube	
12	Minisode	The Shadow in the Mirror	ok		1080p YouTube	
12	Animated Series	Daleks!	ok		1080p YouTube	
12	Special	Revolution of the Daleks	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	The Halloween Apocalypse	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	War of the Sontarans	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	Once, Upon Time	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	Village of the Angels	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	Survivors of the Flux	ok		1080p Blu-ray	1920x960 25fps AAC
13	Main Show	The Vanquishers	ok		1080p Blu-ray	1920x960 25fps AAC
13	Special	Eve of the Daleks	ok		1080p Blu-ray	1920x960 25fps AAC
13	Special	Legend of the Sea Devils	ok		1080p Blu-ray	1920x960 25fps E-AC-3
13	Special	The Power of the Doctor	ok		1080p Blu-ray	1080p 25.008fps AC-3
14	Minisode	Destination: Skaro	ok		1080p broadcast	1080p 25fps AAC
14	Special	The Star Beast	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
14	Special	Wild Blue Yonder	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
14	Special	The Giggle	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Special	The Church on Ruby Road	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	Space Babies	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	The Devil's Chord	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	Boom	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	73 Yards	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	Dot and Bubble	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	Rogue	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	The Legend of Ruby Sunday	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Main Show	Empire of Death	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
15	Minisode	Bad Music	ok		1080p YouTube	720p 29.662fps AAC
15	Special	Joy to the World	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	The Robot Revolution	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	Lux	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	The Well	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	Lucky Day	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	The Story & the Engine	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	The Interstellar Song Contest	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	Wish World	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
16	Main Show	The Reality War	ok		2160p HDR stream, no UHD disc	1080p 25fps E-AC-3
